event_name,Year,Season,City,Games
Swimming Women's 200 metres Backstroke,2004,Summer,Athina,2004 Summer
Athletics Men's Marathon,1968,Summer,Mexico City,1968 Summer
Judo Men's Half-Middleweight,1980,Summer,Moskva,1980 Summer
"Fencing Men's epee, Individual",1928,Summer,Amsterdam,1928 Summer
"Fencing Men's epee, Team",1928,Summer,Amsterdam,1928 Summer
Swimming Men's 100 metres Backstroke,2000,Summer,Sydney,2000 Summer
"Fencing Women's Foil, Individual",1928,Summer,Amsterdam,1928 Summer
"Fencing Women's Foil, Individual",1932,Summer,Los Angeles,1932 Summer
"Fencing Women's Foil, Individual",1936,Summer,Berlin,1936 Summer
"Fencing Women's Foil, Individual",1948,Summer,London,1948 Summer
"Equestrianism Mixed Three-Day Event, Individual",2008,Summer,Beijing,2008 Summer
"Equestrianism Mixed Three-Day Event, Team",2008,Summer,Beijing,2008 Summer
Sailing Mixed Two Person Keelboat,1992,Summer,Barcelona,1992 Summer
"Athletics Men's 10,000 metres",1960,Summer,Roma,1960 Summer
"Canoeing Men's Kayak Singles, Slalom",1992,Summer,Barcelona,1992 Summer
Boxing Men's Middleweight,1960,Summer,Roma,1960 Summer
"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",1920,Summer,Antwerpen,1920 Summer
Athletics Men's 4 x 100 metres Relay,1964,Summer,Tokyo,1964 Summer
Athletics Men's 4 x 400 metres Relay,1960,Summer,Roma,1960 Summer
Athletics Men's 400 metres,1964,Summer,Tokyo,1964 Summer
Athletics Men's 4 x 400 metres Relay,1964,Summer,Tokyo,1964 Summer
Athletics Men's Decathlon,2012,Summer,London,2012 Summer
Athletics Women's 400 metres,1984,Summer,Los Angeles,1984 Summer
Athletics Women's 400 metres,1996,Summer,Atlanta,1996 Summer
Table Tennis Men's Doubles,1996,Summer,Atlanta,1996 Summer
"Cycling Men's Team Pursuit, 4,000 metres",1932,Summer,Los Angeles,1932 Summer
Athletics Men's High Jump,1948,Summer,London,1948 Summer
Athletics Men's 4 x 100 metres Relay,1984,Summer,Los Angeles,1984 Summer
Athletics Men's 110 metres Hurdles,1996,Summer,Atlanta,1996 Summer
Boxing Men's Welterweight,1988,Summer,Seoul,1988 Summer
"Wrestling Men's Light-Flyweight, Freestyle",1988,Summer,Seoul,1988 Summer
"Wrestling Men's Light-Flyweight, Freestyle",1992,Summer,Barcelona,1992 Summer
"Wrestling Women's Featherweight, Freestyle",2016,Summer,Rio de Janeiro,2016 Summer
Swimming Women's 200 metres Freestyle,1996,Summer,Atlanta,1996 Summer
Swimming Women's 400 metres Freestyle,1996,Summer,Atlanta,1996 Summer
Swimming Women's 200 metres Individual Medley,1996,Summer,Atlanta,1996 Summer
Swimming Women's 400 metres Individual Medley,1996,Summer,Atlanta,1996 Summer
Swimming Women's 200 metres Individual Medley,2000,Summer,Sydney,2000 Summer
Swimming Women's 400 metres Individual Medley,2000,Summer,Sydney,2000 Summer
Boxing Men's Bantamweight,1956,Summer,Melbourne,1956 Summer
Judo Men's Heavyweight,1980,Summer,Moskva,1980 Summer
Athletics Men's 400 metres Hurdles,1932,Summer,Los Angeles,1932 Summer
Sailing Men's Windsurfer,1992,Summer,Barcelona,1992 Summer
"Shooting Men's Running Target, Single Shot",1924,Summer,Paris,1924 Summer
"Shooting Men's Running Target, Double Shot",1924,Summer,Paris,1924 Summer
Hockey Men's Hockey,1928,Summer,Amsterdam,1928 Summer
Hockey Men's Hockey,1936,Summer,Berlin,1936 Summer
Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,2016 Summer
Rowing Men's Coxless Pairs,1984,Summer,Los Angeles,1984 Summer
"Athletics Men's 1,500 metres",1988,Summer,Seoul,1988 Summer
Athletics Men's Marathon,1972,Summer,Munich,1972 Summer
Athletics Men's 100 metres,1988,Summer,Seoul,1988 Summer
Athletics Men's 200 metres,1988,Summer,Seoul,1988 Summer
Athletics Men's 100 metres,1996,Summer,Atlanta,1996 Summer
"Wrestling Women's Lightweight, Freestyle",2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 5,000 metres",1968,Summer,Mexico City,1968 Summer
"Athletics Men's 5,000 metres",1972,Summer,Munich,1972 Summer
"Athletics Men's 3,000 metres Steeplechase",1972,Summer,Munich,1972 Summer
Athletics Women's 200 metres,2012,Summer,London,2012 Summer
"Fencing Men's Sabre, Team",1924,Summer,Paris,1924 Summer
"Athletics Women's 10,000 metres",1996,Summer,Atlanta,1996 Summer
Athletics Women's Marathon,2008,Summer,Beijing,2008 Summer
Diving Men's Springboard,1952,Summer,Helsinki,1952 Summer
Football Men's Football,1952,Summer,Helsinki,1952 Summer
Boxing Men's Light-Middleweight,1980,Summer,Moskva,1980 Summer
Table Tennis Men's Doubles,1988,Summer,Seoul,1988 Summer
Weightlifting Men's Lightweight,2008,Summer,Beijing,2008 Summer
Hockey Men's Hockey,1972,Summer,Munich,1972 Summer
Athletics Women's 100 metres Hurdles,2012,Summer,London,2012 Summer
"Wrestling Men's Welterweight, Greco-Roman",2008,Summer,Beijing,2008 Summer
Modern Pentathlon Women's Individual,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's 200 metres,1980,Summer,Moskva,1980 Summer
Athletics Men's 4 x 100 metres Relay,1980,Summer,Moskva,1980 Summer
Boxing Men's Light-Heavyweight,1936,Summer,Berlin,1936 Summer
Athletics Women's 100 metres,1960,Summer,Roma,1960 Summer
Weightlifting Men's Flyweight,1992,Summer,Barcelona,1992 Summer
Weightlifting Men's Flyweight,1996,Summer,Atlanta,1996 Summer
"Canoeing Men's Canadian Doubles, Slalom",1992,Summer,Barcelona,1992 Summer
"Canoeing Men's Canadian Doubles, Slalom",1996,Summer,Atlanta,1996 Summer
"Canoeing Men's Canadian Doubles, Slalom",2000,Summer,Sydney,2000 Summer
Judo Women's Half-Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
Swimming Men's 200 metres Breaststroke,1932,Summer,Los Angeles,1932 Summer
Swimming Men's 200 metres Breaststroke,1936,Summer,Berlin,1936 Summer
"Athletics Men's 1,500 metres",1964,Summer,Tokyo,1964 Summer
Boxing Men's Light-Heavyweight,2012,Summer,London,2012 Summer
Swimming Women's 200 metres Backstroke,2000,Summer,Sydney,2000 Summer
Athletics Men's High Jump,2016,Summer,Rio de Janeiro,2016 Summer
Boxing Men's Light-Welterweight,1952,Summer,Helsinki,1952 Summer
Athletics Men's 400 metres Hurdles,1996,Summer,Atlanta,1996 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1988,Summer,Seoul,1988 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1992,Summer,Barcelona,1992 Summer
Sailing Mixed Three Person Keelboat,1984,Summer,Los Angeles,1984 Summer
Sailing Mixed Three Person Keelboat,1992,Summer,Barcelona,1992 Summer
Swimming Women's 100 metres Freestyle,1912,Summer,Stockholm,1912 Summer
Swimming Women's 4 x 100 metres Freestyle Relay,1912,Summer,Stockholm,1912 Summer
Diving Women's Plain High,1924,Summer,Paris,1924 Summer
Sailing Mixed Two Person Keelboat,1964,Summer,Tokyo,1964 Summer
Modern Pentathlon Men's Individual,1964,Summer,Tokyo,1964 Summer
Modern Pentathlon Men's Team,1964,Summer,Tokyo,1964 Summer
"Equestrianism Men's Dressage, Individual",1936,Summer,Berlin,1936 Summer
"Equestrianism Men's Dressage, Team",1936,Summer,Berlin,1936 Summer
"Equestrianism Men's Jumping, Individual",1912,Summer,Stockholm,1912 Summer
"Equestrianism Men's Three-Day Event, Individual",1912,Summer,Stockholm,1912 Summer
"Equestrianism Men's Three-Day Event, Team",1912,Summer,Stockholm,1912 Summer
"Tennis Women's Singles, Covered Courts",1908,Summer,London,1908 Summer
Gymnastics Women's Individual All-Around,2012,Summer,London,2012 Summer
Gymnastics Women's Floor Exercise,2012,Summer,London,2012 Summer
Gymnastics Women's Uneven Bars,2012,Summer,London,2012 Summer
Gymnastics Women's Balance Beam,2012,Summer,London,2012 Summer
Diving Men's Platform,1908,Summer,London,1908 Summer
Diving Men's Platform,1912,Summer,Stockholm,1912 Summer
Diving Men's Plain High,1912,Summer,Stockholm,1912 Summer
Diving Men's Platform,1920,Summer,Antwerpen,1920 Summer
Diving Men's Plain High,1920,Summer,Antwerpen,1920 Summer
Diving Men's Platform,1924,Summer,Paris,1924 Summer
Diving Men's Plain High,1924,Summer,Paris,1924 Summer
Diving Women's Plain High,1912,Summer,Stockholm,1912 Summer
Diving Women's Plain High,1920,Summer,Antwerpen,1920 Summer
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1976,Summer,Montreal,1976 Summer
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",1976,Summer,Montreal,1976 Summer
Swimming Women's 400 metres Freestyle,2008,Summer,Beijing,2008 Summer
Swimming Women's 800 metres Freestyle,2008,Summer,Beijing,2008 Summer
Swimming Women's 400 metres Freestyle,2012,Summer,London,2012 Summer
Swimming Women's 800 metres Freestyle,2012,Summer,London,2012 Summer
Sailing Women's Two Person Dinghy,1988,Summer,Seoul,1988 Summer
Sailing Women's Two Person Dinghy,1996,Summer,Atlanta,1996 Summer
Swimming Women's 200 metres Backstroke,1980,Summer,Moskva,1980 Summer
"Fencing Women's Foil, Individual",1924,Summer,Paris,1924 Summer
Boxing Men's Light-Heavyweight,1996,Summer,Atlanta,1996 Summer
Weightlifting Men's Light-Heavyweight,1964,Summer,Tokyo,1964 Summer
Athletics Men's 400 metres,1960,Summer,Roma,1960 Summer
Athletics Men's 4 x 100 metres Relay,1960,Summer,Roma,1960 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1984,Summer,Los Angeles,1984 Summer
Athletics Men's 100 metres,2000,Summer,Sydney,2000 Summer
Boxing Men's Flyweight,1948,Summer,London,1948 Summer
Athletics Men's High Jump,1928,Summer,Amsterdam,1928 Summer
"Wrestling Men's Featherweight, Greco-Roman",2004,Summer,Athina,2004 Summer
Athletics Men's 4 x 400 metres Relay,2000,Summer,Sydney,2000 Summer
Gymnastics Women's Individual All-Around,1980,Summer,Moskva,1980 Summer
Gymnastics Women's Floor Exercise,1980,Summer,Moskva,1980 Summer
Gymnastics Women's Horse Vault,1980,Summer,Moskva,1980 Summer
Gymnastics Women's Uneven Bars,1980,Summer,Moskva,1980 Summer
Gymnastics Women's Balance Beam,1980,Summer,Moskva,1980 Summer
Gymnastics Women's Individual All-Around,1984,Summer,Los Angeles,1984 Summer
Gymnastics Women's Floor Exercise,1984,Summer,Los Angeles,1984 Summer
Gymnastics Women's Horse Vault,1984,Summer,Los Angeles,1984 Summer
Gymnastics Women's Uneven Bars,1984,Summer,Los Angeles,1984 Summer
Gymnastics Women's Balance Beam,1984,Summer,Los Angeles,1984 Summer
Rowing Men's Quadruple Sculls,2016,Summer,Rio de Janeiro,2016 Summer
Shooting Men's Trap,1900,Summer,Paris,1900 Summer
"Cycling Men's Road Race, Individual",1936,Summer,Berlin,1936 Summer
"Cycling Men's Road Race, Team",1936,Summer,Berlin,1936 Summer
Swimming Men's 100 metres Freestyle,1984,Summer,Los Angeles,1984 Summer
Boxing Men's Flyweight,1996,Summer,Atlanta,1996 Summer
Basketball Men's Basketball,1964,Summer,Tokyo,1964 Summer
Basketball Men's Basketball,1968,Summer,Mexico City,1968 Summer
Boxing Men's Featherweight,1980,Summer,Moskva,1980 Summer
Athletics Men's Long Jump,1972,Summer,Munich,1972 Summer
"Shooting Men's Free Pistol, 50 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Military Rifle, Prone, 300 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Military Rifle, Prone, 600 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Military Rifle, Standing, 300 metres, Team",1920,Summer,Antwerpen,1920 Summer
"Shooting Men's Free Rifle, Prone, 600 metres",1924,Summer,Paris,1924 Summer
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",1924,Summer,Paris,1924 Summer
Weightlifting Men's Lightweight,1928,Summer,Amsterdam,1928 Summer
Swimming Men's 4 x 100 metres Freestyle Relay,2008,Summer,Beijing,2008 Summer
Swimming Men's 100 metres Freestyle,2012,Summer,London,2012 Summer
Swimming Men's 4 x 100 metres Medley Relay,2012,Summer,London,2012 Summer
"Shooting Women's Sporting Pistol, 25 metres",1984,Summer,Los Angeles,1984 Summer
"Shooting Women's Air Pistol, 10 metres",1988,Summer,Seoul,1988 Summer
"Shooting Women's Sporting Pistol, 25 metres",1988,Summer,Seoul,1988 Summer
Basketball Women's Basketball,1992,Summer,Barcelona,1992 Summer
Basketball Women's Basketball,1996,Summer,Atlanta,1996 Summer
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",1972,Summer,Munich,1972 Summer
Baseball Men's Baseball,2004,Summer,Athina,2004 Summer
Basketball Women's Basketball,2004,Summer,Athina,2004 Summer
Athletics Women's Shot Put,1996,Summer,Atlanta,1996 Summer
Athletics Women's Discus Throw,2004,Summer,Athina,2004 Summer
Athletics Women's Discus Throw,2008,Summer,Beijing,2008 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1996,Summer,Atlanta,1996 Summer
Judo Men's Half-Lightweight,1988,Summer,Seoul,1988 Summer
Rowing Men's Single Sculls,1952,Summer,Helsinki,1952 Summer
Athletics Women's 100 metres,2000,Summer,Sydney,2000 Summer
Athletics Women's 4 x 100 metres Relay,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Middleweight, Greco-Roman",1980,Summer,Moskva,1980 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,2004,Summer,Athina,2004 Summer
Swimming Men's 200 metres Butterfly,2004,Summer,Athina,2004 Summer
Swimming Men's 200 metres Butterfly,2008,Summer,Beijing,2008 Summer
Weightlifting Men's Flyweight,1980,Summer,Moskva,1980 Summer
Boxing Men's Light-Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
"Wrestling Men's Lightweight, Greco-Roman",1996,Summer,Atlanta,1996 Summer
Handball Men's Handball,1984,Summer,Los Angeles,1984 Summer
Judo Women's Half-Middleweight,2008,Summer,Beijing,2008 Summer
"Cycling Men's Tandem Sprint, 2,000 metres",1948,Summer,London,1948 Summer
Athletics Men's 50 kilometres Walk,1936,Summer,Berlin,1936 Summer
Modern Pentathlon Men's Individual,1912,Summer,Stockholm,1912 Summer
Judo Men's Half-Heavyweight,1972,Summer,Munich,1972 Summer
Athletics Men's 100 metres,1912,Summer,Stockholm,1912 Summer
Athletics Men's 200 metres,1912,Summer,Stockholm,1912 Summer
Athletics Women's 100 metres,1928,Summer,Amsterdam,1928 Summer
Athletics Women's 4 x 100 metres Relay,1928,Summer,Amsterdam,1928 Summer
Swimming Men's 50 metres Freestyle,2012,Summer,London,2012 Summer
"Cycling Men's Road Race, Individual",1928,Summer,Amsterdam,1928 Summer
"Cycling Men's Road Race, Team",1928,Summer,Amsterdam,1928 Summer
"Cycling Men's 1,000 metres Time Trial",1928,Summer,Amsterdam,1928 Summer
"Cycling Men's Road Race, Individual",2008,Summer,Beijing,2008 Summer
Athletics Women's Heptathlon,2012,Summer,London,2012 Summer
Cycling Men's Points Race,1992,Summer,Barcelona,1992 Summer
Synchronized Swimming Women's Solo,1992,Summer,Barcelona,1992 Summer
Synchronized Swimming Women's Duet,1992,Summer,Barcelona,1992 Summer
Synchronized Swimming Women's Team,1996,Summer,Atlanta,1996 Summer
"Equestrianism Mixed Dressage, Individual",1972,Summer,Munich,1972 Summer
"Equestrianism Mixed Dressage, Team",1972,Summer,Munich,1972 Summer
Tennis Men's Singles,1924,Summer,Paris,1924 Summer
Tennis Men's Doubles,1924,Summer,Paris,1924 Summer
Weightlifting Men's Middleweight,1924,Summer,Paris,1924 Summer
Weightlifting Men's Middleweight,1936,Summer,Berlin,1936 Summer
"Equestrianism Men's Dressage, Individual",1912,Summer,Stockholm,1912 Summer
Basketball Men's Basketball,2008,Summer,Beijing,2008 Summer
Athletics Men's Decathlon,1996,Summer,Atlanta,1996 Summer
Gymnastics Women's Team All-Around,2012,Summer,London,2012 Summer
Athletics Women's 800 metres,1996,Summer,Atlanta,1996 Summer
"Cycling Men's Road Race, Individual",1984,Summer,Los Angeles,1984 Summer
Sailing Men's One Person Dinghy,2012,Summer,London,2012 Summer
Sailing Men's One Person Dinghy,2016,Summer,Rio de Janeiro,2016 Summer
Handball Men's Handball,1980,Summer,Moskva,1980 Summer
"Wrestling Men's Middleweight, Freestyle",1988,Summer,Seoul,1988 Summer
Boxing Men's Welterweight,1948,Summer,London,1948 Summer
Taekwondo Women's Featherweight,2000,Summer,Sydney,2000 Summer
Taekwondo Men's Welterweight,2000,Summer,Sydney,2000 Summer
Swimming Women's 100 metres Backstroke,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Women's 400 metres,2000,Summer,Sydney,2000 Summer
Athletics Women's 4 x 400 metres Relay,2000,Summer,Sydney,2000 Summer
Sailing Men's Two Person Dinghy,2016,Summer,Rio de Janeiro,2016 Summer
"Equestrianism Mixed Dressage, Individual",2016,Summer,Rio de Janeiro,2016 Summer
Rowing Women's Coxed Quadruple Sculls,1976,Summer,Montreal,1976 Summer
Athletics Women's 100 metres,1972,Summer,Munich,1972 Summer
Athletics Women's 200 metres,1972,Summer,Munich,1972 Summer
Water Polo Men's Water Polo,2000,Summer,Sydney,2000 Summer
Water Polo Men's Water Polo,2008,Summer,Beijing,2008 Summer
Water Polo Men's Water Polo,2012,Summer,London,2012 Summer
"Cycling Men's Individual Pursuit, 4,000 metres",1992,Summer,Barcelona,1992 Summer
"Cycling Men's Team Pursuit, 4,000 metres",1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Welterweight, Freestyle",1964,Summer,Tokyo,1964 Summer
Judo Men's Half-Lightweight,1996,Summer,Atlanta,1996 Summer
Swimming Men's 100 metres Breaststroke,2012,Summer,London,2012 Summer
Gymnastics Women's Team All-Around,1984,Summer,Los Angeles,1984 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,1996,Summer,Atlanta,1996 Summer
Swimming Men's 100 metres Freestyle,2000,Summer,Sydney,2000 Summer
Rowing Men's Coxless Fours,2004,Summer,Athina,2004 Summer
Rowing Men's Quadruple Sculls,2008,Summer,Beijing,2008 Summer
Rowing Men's Coxless Fours,2012,Summer,London,2012 Summer
Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,2016 Summer
Table Tennis Women's Doubles,1996,Summer,Atlanta,1996 Summer
Athletics Men's 50 kilometres Walk,1964,Summer,Tokyo,1964 Summer
Athletics Men's 50 kilometres Walk,1968,Summer,Mexico City,1968 Summer
Tennis Men's Singles,1996,Summer,Atlanta,1996 Summer
Tennis Men's Doubles,1996,Summer,Atlanta,1996 Summer
Athletics Men's Triple Jump,1980,Summer,Moskva,1980 Summer
"Shooting Men's Rapid-Fire Pistol, 25 metres",1924,Summer,Paris,1924 Summer
"Fencing Men's epee, Individual",1924,Summer,Paris,1924 Summer
"Wrestling Men's Heavyweight, Freestyle",2004,Summer,Athina,2004 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1996,Summer,Atlanta,1996 Summer
Athletics Men's 400 metres Hurdles,1972,Summer,Munich,1972 Summer
Boxing Men's Bantamweight,1972,Summer,Munich,1972 Summer
Athletics Men's Triple Jump,1984,Summer,Los Angeles,1984 Summer
Judo Women's Half-Middleweight,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Women's Long Jump,1992,Summer,Barcelona,1992 Summer
Table Tennis Men's Singles,2012,Summer,London,2012 Summer
Athletics Men's High Jump,1980,Summer,Moskva,1980 Summer
"Shooting Men's Free Pistol, 50 metres",1960,Summer,Roma,1960 Summer
"Shooting Mixed Free Pistol, 50 metres",1968,Summer,Mexico City,1968 Summer
Athletics Men's Marathon,1928,Summer,Amsterdam,1928 Summer
Judo Men's Half-Lightweight,1984,Summer,Los Angeles,1984 Summer
"Fencing Women's Foil, Individual",1976,Summer,Montreal,1976 Summer
"Fencing Women's Foil, Team",1976,Summer,Montreal,1976 Summer
"Fencing Women's Foil, Team",1980,Summer,Moskva,1980 Summer
"Cycling Men's Mountainbike, Cross-Country",2000,Summer,Sydney,2000 Summer
Sailing Mixed 6 metres,1920,Summer,Antwerpen,1920 Summer
Sailing Women's Skiff,2016,Summer,Rio de Janeiro,2016 Summer
Water Polo Men's Water Polo,1956,Summer,Melbourne,1956 Summer
Athletics Men's Hammer Throw,1908,Summer,London,1908 Summer
"Athletics Men's 5,000 metres",2004,Summer,Athina,2004 Summer
Rowing Men's Coxless Fours,1972,Summer,Munich,1972 Summer
Swimming Men's 200 metres Freestyle,1988,Summer,Seoul,1988 Summer
"Swimming Men's 1,500 metres Freestyle",1988,Summer,Seoul,1988 Summer
Swimming Men's 100 metres Backstroke,1992,Summer,Barcelona,1992 Summer
Swimming Men's 200 metres Backstroke,1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",2004,Summer,Athina,2004 Summer
Boxing Men's Flyweight,1964,Summer,Tokyo,1964 Summer
Boxing Men's Bantamweight,1948,Summer,London,1948 Summer
Boxing Men's Featherweight,1952,Summer,Helsinki,1952 Summer
Athletics Men's Triple Jump,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Women's Pole Vault,2004,Summer,Athina,2004 Summer
Athletics Women's Pole Vault,2008,Summer,Beijing,2008 Summer
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1972,Summer,Munich,1972 Summer
Archery Women's Individual,1980,Summer,Moskva,1980 Summer
Archery Women's Individual,1984,Summer,Los Angeles,1984 Summer
Archery Women's Individual,1988,Summer,Seoul,1988 Summer
Hockey Women's Hockey,2000,Summer,Sydney,2000 Summer
Hockey Women's Hockey,2008,Summer,Beijing,2008 Summer
Hockey Women's Hockey,2012,Summer,London,2012 Summer
Boxing Men's Light-Welterweight,1980,Summer,Moskva,1980 Summer
Swimming Men's 200 metres Freestyle,2012,Summer,London,2012 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,2012,Summer,London,2012 Summer
Swimming Men's 400 metres Freestyle,1948,Summer,London,1948 Summer
"Swimming Men's 1,500 metres Freestyle",1948,Summer,London,1948 Summer
"Swimming Men's 1,500 metres Freestyle",1952,Summer,Helsinki,1952 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,1952,Summer,Helsinki,1952 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",1964,Summer,Tokyo,1964 Summer
"Wrestling Men's Middleweight, Freestyle",1984,Summer,Los Angeles,1984 Summer
Basketball Men's Basketball,1936,Summer,Berlin,1936 Summer
"Canoeing Men's Kayak Doubles, 10,000 metres",1952,Summer,Helsinki,1952 Summer
Athletics Men's 100 metres,1956,Summer,Melbourne,1956 Summer
Athletics Men's 200 metres,1956,Summer,Melbourne,1956 Summer
Triathlon Men's Olympic Distance,2008,Summer,Beijing,2008 Summer
"Fencing Women's Foil, Team",1964,Summer,Tokyo,1964 Summer
"Fencing Men's epee, Individual",1932,Summer,Los Angeles,1932 Summer
"Fencing Men's epee, Team",1932,Summer,Los Angeles,1932 Summer
Sailing Women's One Person Dinghy,2012,Summer,London,2012 Summer
"Wrestling Men's Lightweight, Freestyle",1968,Summer,Mexico City,1968 Summer
Judo Men's Heavyweight,1996,Summer,Atlanta,1996 Summer
Boxing Men's Lightweight,1936,Summer,Berlin,1936 Summer
Handball Women's Handball,2012,Summer,London,2012 Summer
"Fencing Men's Sabre, Individual",2004,Summer,Athina,2004 Summer
"Fencing Men's Sabre, Individual",2008,Summer,Beijing,2008 Summer
Rowing Women's Single Sculls,1976,Summer,Montreal,1976 Summer
Rowing Men's Double Sculls,1984,Summer,Los Angeles,1984 Summer
Boxing Men's Lightweight,1976,Summer,Montreal,1976 Summer
Rowing Men's 17-Man Naval Rowing Boats,1906,Summer,Athina,1906 Summer
Athletics Women's High Jump,1984,Summer,Los Angeles,1984 Summer
Gymnastics Women's Team All-Around,1928,Summer,Amsterdam,1928 Summer
Sailing Men's One Person Dinghy,2008,Summer,Beijing,2008 Summer
Beach Volleyball Women's Beach Volleyball,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's 4 x 100 metres Relay,1996,Summer,Atlanta,1996 Summer
Weightlifting Men's Super-Heavyweight,1992,Summer,Barcelona,1992 Summer
Volleyball Women's Volleyball,2000,Summer,Sydney,2000 Summer
Rowing Men's Coxed Pairs,1960,Summer,Roma,1960 Summer
Rowing Men's Lightweight Coxless Fours,1996,Summer,Atlanta,1996 Summer
Boxing Men's Flyweight,1980,Summer,Moskva,1980 Summer
Rowing Men's Coxless Pairs,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Individual All-Around,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Team All-Around,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Floor Exercise,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Horse Vault,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Parallel Bars,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Horizontal Bar,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Rings,1988,Summer,Seoul,1988 Summer
Gymnastics Men's Pommelled Horse,1988,Summer,Seoul,1988 Summer
Swimming Men's 200 metres Breaststroke,1980,Summer,Moskva,1980 Summer
Swimming Men's 200 metres Butterfly,1980,Summer,Moskva,1980 Summer
Swimming Men's 400 metres Individual Medley,1980,Summer,Moskva,1980 Summer
Swimming Men's 200 metres Breaststroke,1984,Summer,Los Angeles,1984 Summer
Swimming Men's 200 metres Butterfly,1984,Summer,Los Angeles,1984 Summer
Swimming Men's 200 metres Individual Medley,1984,Summer,Los Angeles,1984 Summer
Water Polo Men's Water Polo,1980,Summer,Moskva,1980 Summer
"Wrestling Men's Light-Flyweight, Greco-Roman",1996,Summer,Atlanta,1996 Summer
Athletics Women's Heptathlon,2016,Summer,Rio de Janeiro,2016 Summer
Golf Men's Individual,2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 5,000 metres",1964,Summer,Tokyo,1964 Summer
"Athletics Men's 10,000 metres",1964,Summer,Tokyo,1964 Summer
Boxing Men's Middleweight,1964,Summer,Tokyo,1964 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",2004,Summer,Athina,2004 Summer
"Canoeing Men's Canadian Doubles, 500 metres",2008,Summer,Beijing,2008 Summer
"Canoeing Men's Canadian Doubles, 1,000 metres",2008,Summer,Beijing,2008 Summer
Sailing Mixed 5.5 metres,1964,Summer,Tokyo,1964 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1968,Summer,Mexico City,1968 Summer
Swimming Men's 100 metres Butterfly,1968,Summer,Mexico City,1968 Summer
Water Polo Men's Water Polo,1972,Summer,Munich,1972 Summer
Athletics Men's 400 metres Hurdles,2004,Summer,Athina,2004 Summer
Swimming Women's 200 metres Freestyle,1988,Summer,Seoul,1988 Summer
"Athletics Men's 5,000 metres",1984,Summer,Los Angeles,1984 Summer
"Athletics Men's 10,000 metres",1984,Summer,Los Angeles,1984 Summer
Rhythmic Gymnastics Women's Group,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Women's Javelin Throw,2016,Summer,Rio de Janeiro,2016 Summer
Swimming Women's 200 metres Butterfly,2000,Summer,Sydney,2000 Summer
Boxing Men's Light-Flyweight,1996,Summer,Atlanta,1996 Summer
Boxing Men's Featherweight,2000,Summer,Sydney,2000 Summer
Volleyball Men's Volleyball,1968,Summer,Mexico City,1968 Summer
"Equestrianism Mixed Jumping, Individual",1976,Summer,Montreal,1976 Summer
"Equestrianism Mixed Jumping, Team",1976,Summer,Montreal,1976 Summer
Archery Women's Individual,2016,Summer,Rio de Janeiro,2016 Summer
Archery Women's Team,2016,Summer,Rio de Janeiro,2016 Summer
